Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,172.9016,-119.0281,180,top
C1,100n,C_0402_1005Metric,144.4856,-119.0281,180,top
C1,100n,C_0402_1005Metric,116.0696,-56.6401,180,top
C1,100n,C_0402_1005Metric,116.0696,-119.0281,180,top
C1,100n,C_0402_1005Metric,172.9016,-98.2321,180,top
C1,100n,C_0402_1005Metric,144.4856,-98.2321,180,top
C1,100n,C_0402_1005Metric,116.0696,-98.2321,180,top
C1,100n,C_0402_1005Metric,172.9016,-77.4361,180,top
C1,100n,C_0402_1005Metric,144.4856,-77.4361,180,top
C1,100n,C_0402_1005Metric,116.0696,-77.4361,180,top
C1,100n,C_0402_1005Metric,172.9016,-56.6401,180,top
C1,100n,C_0402_1005Metric,144.4856,-56.6401,180,top
C2,100n,C_0603_1608Metric,114.8376,-128.9981,0,top
C2,100n,C_0603_1608Metric,171.6696,-128.9981,0,top
C2,100n,C_0603_1608Metric,143.2536,-128.9981,0,top
C2,100n,C_0603_1608Metric,171.6696,-108.2021,0,top
C2,100n,C_0603_1608Metric,143.2536,-108.2021,0,top
C2,100n,C_0603_1608Metric,114.8376,-108.2021,0,top
C2,100n,C_0603_1608Metric,171.6696,-87.4061,0,top
C2,100n,C_0603_1608Metric,143.2536,-87.4061,0,top
C2,100n,C_0603_1608Metric,114.8376,-87.4061,0,top
C2,100n,C_0603_1608Metric,171.6696,-66.6101,0,top
C2,100n,C_0603_1608Metric,143.2536,-66.6101,0,top
C2,100n,C_0603_1608Metric,114.8376,-66.6101,0,top
C3,100n,C_0402_1005Metric,160.6146,-108.3921,180,top
C3,100n,C_0402_1005Metric,189.0306,-108.3921,180,top
C3,100n,C_0402_1005Metric,189.0306,-129.1881,180,top
C3,100n,C_0402_1005Metric,132.1986,-129.1881,180,top
C3,100n,C_0402_1005Metric,160.6146,-129.1881,180,top
C3,100n,C_0402_1005Metric,132.1986,-66.8001,180,top
C3,100n,C_0402_1005Metric,132.1986,-108.3921,180,top
C3,100n,C_0402_1005Metric,189.0306,-87.5961,180,top
C3,100n,C_0402_1005Metric,160.6146,-87.5961,180,top
C3,100n,C_0402_1005Metric,132.1986,-87.5961,180,top
C3,100n,C_0402_1005Metric,189.0306,-66.8001,180,top
C3,100n,C_0402_1005Metric,160.6146,-66.8001,180,top
C4,1u,C_0402_1005Metric,163.0276,-124.1081,90,top
C4,1u,C_0402_1005Metric,134.6116,-124.1081,90,top
C4,1u,C_0402_1005Metric,191.4436,-103.3121,90,top
C4,1u,C_0402_1005Metric,163.0276,-103.3121,90,top
C4,1u,C_0402_1005Metric,134.6116,-103.3121,90,top
C4,1u,C_0402_1005Metric,191.4436,-82.5161,90,top
C4,1u,C_0402_1005Metric,163.0276,-82.5161,90,top
C4,1u,C_0402_1005Metric,134.6116,-82.5161,90,top
C4,1u,C_0402_1005Metric,191.4436,-61.7201,90,top
C4,1u,C_0402_1005Metric,163.0276,-61.7201,90,top
C4,1u,C_0402_1005Metric,134.6116,-61.7201,90,top
C4,1u,C_0402_1005Metric,191.4436,-124.1081,90,top
C5,100n,C_0402_1005Metric,134.6116,-59.4341,270,top
C5,100n,C_0402_1005Metric,163.0276,-59.4341,270,top
C5,100n,C_0402_1005Metric,191.4436,-59.4341,270,top
C5,100n,C_0402_1005Metric,134.6116,-80.2301,270,top
C5,100n,C_0402_1005Metric,163.0276,-80.2301,270,top
C5,100n,C_0402_1005Metric,191.4436,-80.2301,270,top
